Corps,Home Location,Latitude,Longitude,Class,Show Number,Date,Location,Performance Slot,General Effect 1,General Effect 2,General Effect Total,Visual Proficiency,Visual Analysis,Color Guard,Visual Total,Music Brass,Music Analysis,Music Percussion,Music Total,Sub Total,Penalty,Total Score,Days from Season Start,Letters in Name,Latest Score,Last Performance Date,RMSE,D+1,D+1 U,D+1 L,D+2,D+2 U,D+2 L,D+3,D+3 U,D+3 L,D+4,D+4 U,D+4 L,D+5,D+5 U,D+5 L,D+6,D+6 U,D+6 L,D+7,D+7 U,D+7 L,Number of Shows,Average Rest,Average Score Improvement,Average of Last 3 Scores,Average Normal General Effect,Average Normal Visual,Average Normal Music,Average Normal Brass,Average Normal Percussion,Best Caption,Best Music,Rank of Last 3 Scores,Rank of Last Score,Rank of Last 3 Scores No All-Age,Rank of Last Score No All-Age,Ordinal Rank of Last 3 Scores,Ordinal Rank of Last Score,Ordinal Rank of Last 3 Scores No All-Age,Ordinal Rank of Last Score No All-Age,Projected Championship Round
Spartans,"Nashua, NH",42.7656251,-71.4677032,DCI Open Class,31.0,2024-07-13,"DeKalb, Illinois",1.0,14.0,13.9,27.9,13.8,13.9,14.2,20.95,13.8,13.8,13.0,20.3,69.15,0.0,69.15,17.0,8,69.15,2024-07-13,0.7943896757237934,72.09448275862067,74.89909868738027,69.28986682986108,72.76129310344827,78.54085998674529,66.98172622015124,73.42810344827585,82.35295631188814,64.50325058466356,74.09491379310343,86.33538766280883,61.85443992339803,74.76172413793103,90.48815403950736,59.035294236354666,75.42853448275861,94.81125544198375,56.04581352353346,76.09534482758619,99.30469187023797,52.88599778493441,5.0,3.5,0.7138888888888903,68.88333333333334,0.6974999999999999,0.6833333333333333,0.6827777777777778,0.6683333333333333,0.6783333333333335,General Effect,Percussion,29.0,31.0,21.0,21.0,29th,31st,21st,21st,Semis
Genesis,"Austin, TX",30.2711286,-97.7436995,DCI World Class,30.0,2024-07-13,"Fort Collins, Colorado",3.0,13.5,13.2,26.7,13.5,14.4,13.8,20.85,12.5,14.4,13.9,20.4,67.95,0.0,67.95,17.0,7,67.95,2024-07-13,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,67.95,0.6625,0.7,0.6816666666666666,0.6475,0.7,Visual,Percussion,31.0,32.0,22.0,22.0,31st,32nd,22nd,22nd,Semis
River City Rhythm,"Anoka, MN",45.2710195,-93.2827625,DCI Open Class,34.0,2024-07-14,"Ankeny, Iowa",1.0,13.0,13.2,26.2,14.9,13.3,13.3,20.75,12.2,13.4,14.6,20.1,67.05,0.0,67.05,18.0,15,67.05,2024-07-14,1.2702983062593043,69.15737704918034,76.20507735770758,62.109676740653086,69.8143442622951,84.32969254547305,55.29899597911713,70.47131147540985,92.87425539936197,48.06836755145772,71.1282786885246,100.0,40.41779145767484,71.78524590163936,100.0,32.3472676977685,72.44221311475411,100.0,23.856796271738705,73.09918032786888,100.0,14.946377179585443,5.0,2.25,0.6395833333333328,66.58333333333333,0.67,0.6705555555555556,0.6555555555555556,0.625,0.6683333333333333,Visual,Percussion,33.0,33.0,23.0,23.0,33rd,33rd,23rd,23rd,Semis
Impulse,"Buena Park, CA",33.870413,-117.9962165,DCI Open Class,35.0,2024-07-14,"Cerritos, California",3.0,13.4,13.1,26.5,12.9,13.1,14.1,20.05,12.8,12.9,12.7,19.2,65.75,0.0,65.75,18.0,7,65.75,2024-07-14,1.1828356594083371,67.53293601003763,69.88498857623495,65.18088344384032,68.50652446675029,73.35843251599094,63.65461641750965,69.48011292346297,76.97967937259297,61.98054647433297,70.45370138017563,80.748729146041,60.158673614310274,71.4272898368883,84.66558183633504,58.18899783744157,72.40087829360098,88.73023744347512,56.071519143726846,73.37446675031364,92.94269596746119,53.806237533166104,8.0,2.2857142857142856,0.7188095238095246,64.48333333333333,0.6583333333333333,0.6483333333333333,0.6233333333333334,0.6283333333333334,0.625,General Effect,Brass,35.0,34.0,25.0,24.0,35th,34th,25th,24th,Semis
Columbians,"Pasco, WA",46.2306739,-119.0921,DCI Open Class,19.0,2024-07-08,"Kennewick, Washington",1.0,12.9,13.0,25.9,13.2,13.4,13.0,19.8,12.3,12.9,12.6,18.9,64.6,0.0,64.6,12.0,10,64.6,2024-07-08,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,-0.17500000000000426,64.775,0.6587500000000001,0.6491666666666667,0.6316666666666666,0.6050000000000001,0.6275000000000001,General Effect,Percussion,34.0,35.0,24.0,25.0,34th,35th,24th,25th,Semis
Colt Cadets,"Dubuque, IA",42.5006243,-90.6647985,DCI Open Class,34.0,2024-07-14,"Ankeny, Iowa",2.0,12.4,12.7,25.1,14.5,12.8,12.7,20.0,11.7,13.0,14.1,19.4,64.5,0.0,64.5,18.0,10,64.5,2024-07-14,1.0573417064137047,65.05275437459497,67.60433787385412,62.5011708753358,65.59808813998706,70.86572290098661,60.3304533789875,66.14342190537914,74.29157569060033,57.995268120157974,66.68875567077124,77.88189624269526,55.49561509884722,67.23408943616333,81.63668455727142,52.83149431505524,67.77942320155543,85.55594063432882,50.00290576878203,68.32475696694752,89.63966447386744,47.00984946002759,8.0,2.142857142857143,0.9285714285714285,62.21666666666667,0.6174999999999999,0.6355555555555555,0.615,0.6,0.6183333333333334,Visual,Percussion,38.0,37.0,28.0,27.0,38th,37th,28th,27th,Prelims
Seattle Cascades,"Seattle, WA",47.6038321,-122.330062,DCI World Class,30.0,2024-07-13,"Fort Collins, Colorado",2.0,12.7,12.9,25.6,12.9,12.6,12.8,19.15,12.7,13.8,13.0,19.75,64.5,0.0,64.5,17.0,15,64.5,2024-07-13,0.6718025612623698,66.07252747252747,69.46915868867053,62.6758962563844,66.4532967032967,73.45066740579225,59.45592600080115,66.83406593406593,77.63628439312336,56.03184747500848,67.21483516483515,82.0260096506639,52.403660679006414,67.59560439560438,86.61984317841384,48.57136561279493,67.97637362637361,91.4177849763732,44.53496227637403,68.35714285714285,96.41983504454197,40.294450669743725,7.0,1.3333333333333333,0.3249999999999999,64.2,0.6383333333333333,0.6338888888888888,0.655,0.6366666666666667,0.6583333333333333,Music,Percussion,36.0,37.0,26.0,27.0,36th,37th,26th,27th,Prelims
Jersey Surf,"Camden County, NJ",39.8014709,-74.968553,DCI World Class,29.0,2024-07-13,"Clifton, New Jersey",1.0,13.4,12.8,26.2,12.9,12.4,12.8,19.05,12.3,12.3,12.5,18.55,63.85,0.0,63.85,17.0,10,63.85,2024-07-13,,,,,,,,,,,,,,,,,,,,,,,1.0,,,63.85,0.655,0.635,0.6183333333333334,0.615,0.625,General Effect,Percussion,37.0,38.0,27.0,28.0,37th,38th,27th,28th,Prelims
Golden Empire,"Bakersfield, CA",35.3738712,-119.019463,DCI Open Class,35.0,2024-07-14,"Cerritos, California",2.0,12.8,12.7,25.5,12.8,12.6,12.1,18.75,12.2,12.8,13.2,19.1,63.35,0.0,63.35,18.0,12,63.35,2024-07-14,0.7692394447168401,64.14473684210525,68.37838849512406,59.911085189086435,64.84022556390975,73.55108838099011,56.129362746829415,65.53571428571426,78.96734777789888,52.10408079352965,66.23120300751877,84.62716668585041,47.83523932918715,66.9266917293233,90.53054510484466,43.32283835380191,67.6221804511278,96.67748303488165,38.56687786737395,68.31766917293231,100.0,33.56735786990325,5.0,2.0,1.1900000000000013,61.949999999999996,0.6216666666666666,0.6161111111111112,0.62,0.5983333333333334,0.6333333333333333,General Effect,Percussion,39.0,39.0,29.0,29.0,39th,39th,29th,29th,Prelims
The Battalion,"Salt Lake City, UT",40.7596198,-111.886797,DCI Open Class,30.0,2024-07-13,"Fort Collins, Colorado",1.0,12.6,12.3,24.9,12.2,12.8,12.5,18.75,13.2,12.2,11.4,18.4,62.05,0.0,62.05,17.0,12,62.05,2024-07-13,0.614192268639997,64.04642857142855,78.40732691566328,49.68553022719382,64.55714285714284,94.08310599198356,35.0311797223021,65.06785714285712,100.0,19.5726627710391,65.57857142857141,100.0,3.3099793734048184,66.0892857142857,100.0,0.0,66.59999999999998,100.0,0.0,67.11071428571427,100.0,0.0,3.0,1.5,0.16249999999999787,61.833333333333336,0.6099999999999999,0.6211111111111111,0.6266666666666667,0.6483333333333334,0.6066666666666667,Music,Brass,40.0,40.0,30.0,30.0,40th,40th,30th,30th,Prelims
Vessel,"San Dimas, CA",34.1065404,-117.8069361,DCI Open Class,35.0,2024-07-14,"Cerritos, California",1.0,12.2,12.2,24.4,12.3,12.1,11.6,18.0,12.4,12.2,12.2,18.4,60.8,0.0,60.8,18.0,6,60.8,2024-07-14,0.33566736376769446,62.51030680728669,63.1906545967211,61.829959017852275,63.222051773729646,64.6253485302169,61.81875501724239,63.933796740172596,66.10264364133111,61.764949839014086,64.64554170661555,67.62253993006377,61.66854348316734,65.3572866730585,69.18503739641483,61.529535949702186,66.06903163950146,70.79013604038431,61.34792723861861,66.78077660594441,72.43783586197223,61.12371734991659,7.0,2.6666666666666665,0.5958333333333324,60.29999999999999,0.6075,0.5905555555555555,0.6094444444444445,0.6066666666666667,0.6166666666666667,Music,Percussion,41.0,41.0,31.0,31.0,41st,41st,31st,31st,Prelims
7th Regiment,"New London, CT",41.3556187,-72.0997804,DCI Open Class,5.0,2024-06-29,"Shelton, Connecticut",1.0,11.1,11.2,22.3,8.8,12.4,10.9,16.05,8.9,11.1,10.0,15.0,53.35,0.0,53.35,3.0,11,53.35,2024-06-29,,,,,,,,,,,,,,,,,,,,,,,1.0,,,53.35,0.5575,0.535,0.5,0.445,0.5,General Effect,Percussion,42.0,42.0,32.0,32.0,42nd,42nd,32nd,32nd,Prelims
Blue Devils C,"Concord, CA",37.9768525,-122.0335624,DCI Open Class,18.0,2024-07-07,"Sacramento, California",2.0,11.0,10.4,21.4,9.3,11.3,10.0,15.3,10.2,10.7,10.2,15.55,52.25,0.0,52.25,11.0,11,52.25,2024-07-07,0.7173301192616978,59.31999999999999,62.00006175564138,56.6399382443586,60.074999999999996,65.63312543527535,54.516874564724645,60.83,69.46419103890189,52.19580896109811,61.584999999999994,73.49325856652099,49.676741433478995,62.33999999999999,77.72032801813268,46.9596719818673,63.09499999999999,82.14539939373694,44.04460060626305,63.849999999999994,86.76847269333376,40.93152730666622,5.0,2.25,0.2208333333333338,50.416666666666664,0.5149999999999999,0.49833333333333335,0.4955555555555556,0.4933333333333333,0.4933333333333333,General Effect,Neither,43.0,43.0,33.0,33.0,43rd,43rd,33rd,33rd,Prelims
Columbus Saints,"Columbus, OH",39.9622601,-83.0007065,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardians,"Dallas, TX",32.7762719,-96.7968559,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Wave,"Tampa Bay, FL",27.6886419,-82.5723193,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Stentors,"Sherbrooke, QC",45.403271,-71.889038,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Skyliners,"Southern Tier, NY",42.1615601,-76.8426327,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,"Princeton, NJ",40.3496953,-74.6597376,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Sabers,"Rochester, NY",43.157285,-77.615214,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
